"filename", "language", "Lua", "comment", "blank", "total"
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Binding.lua", "Lua", 119, 0, 37, 156
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Binding.spec.lua", "Lua", 199, 3, 68, 270
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.lua", "Lua", 374, 33, 105, 512
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\context.spec.lua", "Lua", 215, 4, 72, 291
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\defaultProps.spec.lua", "Lua", 93, 0, 33, 126
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\didMount.spec.lua", "Lua", 24, 0, 12, 36
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\didUpdate.spec.lua", "Lua", 66, 0, 26, 92
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\extend.spec.lua", "Lua", 21, 0, 9, 30
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\getDerivedStateFromProps.spec.lua", "Lua", 203, 11, 73, 287
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\getElementTraceback.spec.lua", "Lua", 49, 0, 19, 68
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\init.spec.lua", "Lua", 30, 0, 12, 42
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\legacyContext.spec.lua", "Lua", 151, 1, 52, 204
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\render.spec.lua", "Lua", 112, 0, 39, 151
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\setState.spec.lua", "Lua", 449, 4, 148, 601
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\shouldUpdate.spec.lua", "Lua", 121, 0, 55, 176
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\validateProps.spec.lua", "Lua", 209, 0, 61, 270
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\willUnmount.spec.lua", "Lua", 25, 0, 12, 37
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Component.spec\willUpdate.spec.lua", "Lua", 68, 0, 26, 94
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\ComponentLifecyclePhase.lua", "Lua", 14, 2, 4, 20
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Config.lua", "Lua", 76, 13, 27, 116
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Config.spec.lua", "Lua", 36, 2, 15, 53
